bad_iid,good_iid
101065382,101096844
101757692,101710208
101316543,101461451
101599005,101341923
101403954,101777239
101708936,101896664
101003720,101382479
101461450,101185528
101651023,101001706
101938823,101192364
101516057,101143070
101920318,101355811
101076140,101751848
101495498,101888460
101310672,101198287
101693617,101761435
101143953,101253378
101757074,101407396
101191770,101172402
101264404,101488244
101643032,101688230
101184332,101426859
101618509,101533248
101529831,101657771
101743896,101333673
101825307,101747215
101837339,101204317
101573925,101236115
101649289,101819997
101481453,101785365
101744070,101707067
101524286,101365793
101272125,101359479
101570372,101668118
101174789,101624715
101704143,101800094
101398802,101429213
101346510,101720534
101805413,101201381
101262479,101474667
101166855,101237708
101221832,101214983
101702737,101072948
101596442,101452903
101568067,101050476
101599967,101061024
101971337,101202069
101362768,101261525
101001870,101580601
101673512,101564348
101205625,101585368
101654444,101636205
101154133,101310422
101841493,101012486
101769522,101960171
101513430,101018267
101005264,101663527
101805962,101446496
101886284,101053220
101719995,101199093
101285602,101356709
101404114,101389055
101052846,101869520
101092090,101706606
101224621,101413973
101872813,101498314
101567055,101415303
101431729,101976403
101556910,101359113
101706552,101413417
101701569,101165382
101588506,101002187
101323749,101545068
101212934,101664312
101102035,101841825
101400570,101307761
101250466,101215885
101646314,101941765
101764259,101754686
101356984,101079910
101948965,101489602
101590522,101423098
101816817,101787606
101353146,101740289
101406899,101245824
101553903,101977090
101045974,101393503
101478102,101830987
101832554,101534317
101451473,101286165
101920423,101732449
101540440,101747521
101736071,101920543
101519650,101011680
101961661,101668945
101733000,101251965
101557448,101019903
101788266,101938190
101924784,101100339
101916027,101180124
101508771,101978056
101037248,101285500
101549282,101170040
101422571,101293204
101725108,101865370
101144217,101794991
101192121,101108039
101620300,101650144
101489569,101315590
101533009,101518271
101388850,101732534
101307505,101036990
101716503,101389337
101212094,101439815
101896831,101981972
101331986,101514406
101212225,101550026
101567570,101219235
101415943,101383010
101021704,101825783
101108981,101432781
101153669,101923600
101636889,101269517
101777693,101107086
101998346,101044327
101590841,101482753
101050353,101818131
101018889,101116865
101045969,101257520
101939886,101104546
101334871,101955991
101035818,101537130
101814015,101145369
101421634,101496686
101956609,101541425
101293657,101228883
101132624,101558664
101775676,101905559
101018613,101435597
101469818,101372253
101434189,101853385
101800726,101493098
101777328,101294250
101784596,101555830
101569664,101891218
101938769,101933830
101545972,101864035
101970294,101726531
101860875,101996732
101044839,101107968
101887244,101553232
101477696,101005415
101823919,101738663
101844640,101962906 # Problematic, as user switched to Ethica and Karen says this is so small it should never have been uploaded
